x,y
94,279
269,75
359,287
218,163
245,78
196,51
2,69
88,410
159,471
253,279
315,412
365,38
127,202
214,93
422,311
109,439
358,61
420,262
40,413
497,171
389,363
347,125
460,483
285,57
249,223
61,278
68,113
298,271
445,451
425,436
488,358
249,326
346,438
14,272
7,187
256,436
127,81
64,84
414,151
110,434
17,394
300,315
160,389
473,41
481,467
310,328
304,400
23,109
95,311
26,212
187,61
132,286
158,178
379,243
20,406
111,109
328,36
76,392
14,282
298,140
241,170
70,172
210,229
235,24
333,491
453,300
100,274
260,107
92,224
419,278
108,61
317,398
92,37
208,142
205,293
95,448
22,192
466,292
132,292
35,122
258,221
401,341
256,106
157,26
426,392
462,108
125,411
267,155
262,9
24,473
374,397
432,135
63,450
380,220
55,276
75,104
121,455
15,458
48,414
351,141
434,466
208,220
3,197
128,377
488,70
237,372
87,272
122,27
330,41
430,420
233,83
284,85
453,315
94,7
436,373
193,217
75,254
253,356
208,159
300,459
61,340
146,142
226,114
312,304
100,245
333,298
246,293
238,459
184,339
407,123
341,450
345,127
178,309
354,22
473,161
484,62
313,18
140,171
372,490
250,99
215,181
144,411
341,197
446,397
229,442
131,1
221,8
91,498
463,487
274,346
312,18
112,161
310,495
297,393
173,416
270,245
277,342
318,139
192,351
45,119
221,441
224,442
190,486
33,408
483,227
174,320
175,362
403,478
137,144
37,79
377,361
195,375
311,107
143,326
183,29
125,318
338,476
322,207
395,301
392,379
26,395
0,260
298,244
48,338
323,489
394,361
380,187
153,113
63,8
34,389
264,400
101,108
455,112
327,252
379,321
85,491
488,61
296,380
219,59
183,226
132,367
57,118
159,411
26,485
9,416
323,171
66,260
72,342
93,83
33,139
303,394
430,420
289,309
274,364
436,301
314,476
149,54
91,183
15,248
447,86
345,474
401,354
322,180
394,479
435,37
340,421
366,161
324,250
234,312
182,63
230,253
488,121
389,342
348,97
66,12
154,497
300,45
476,288
331,26
298,50
337,386
136,473
377,198
409,122
20,421
428,339
460,321
219,55
409,403
266,345
104,269
445,52
1,360
371,297
497,412
51,330
365,270
19,76
344,10
428,387
472,473
174,403
247,9
401,350
106,140
346,276
294,243
160,387
208,346
226,276
305,75
81,479
258,378
364,140
69,307
126,258
440,129
467,127
133,355
388,226
380,329
137,15
323,388
123,359
52,33
394,297
402,405
40,352
431,164
246,220
256,92
230,355
156,211
168,144
207,448
110,134
273,122
124,434
136,340
365,141
110,493
185,245
418,192
437,62
149,186
360,30
421,312
92,104
22,267
233,161
43,45
90,101
159,111
436,375
337,361
343,23
66,112
255,401
15,58
154,183
440,299
259,13
6,394
455,144
185,293
42,359
214,126
75,397
354,86
4,214
38,5
372,25
432,408
245,89
376,137
112,27
327,25
153,315
274,270
237,220
335,446
205,339
96,1
319,29
31,163
316,107
101,157
160,395
286,129
265,446
36,186
290,151
187,254
93,244
434,112
369,376
476,362
337,268
343,120
83,439
341,312
411,175
167,225
345,433
460,290
230,69
460,150
94,448
290,211
398,233
18,468
220,150
322,418
170,97
310,361
299,100
481,430
140,429
364,177
1,445
244,457
135,489
88,210
179,33
203,326
32,448
61,279
131,240
53,371
484,341
287,288
95,95
156,138
449,123
370,295
175,424
59,480
238,373
487,441
151,255
329,284
380,312
157,336
258,14
451,275
93,431
133,15
162,41
458,389
183,86
71,109
14,3
493,388
341,487
67,308
342,357
211,101
62,167
480,311
324,27
38,453
411,112
366,21
246,438
492,129
141,212
355,39
362,19
374,103
81,230
71,472
262,100
106,323
210,35
165,421
217,177
85,440
422,426
440,117
238,53
203,14
102,72
216,215
320,335
45,191
58,23
277,107
271,377
42,204
190,387
446,202
414,266
226,90
194,195
425,382
178,474
331,6
223,144
134,422
135,484
185,438
295,363
89,327
11,186
113,396
38,81
163,156
183,283
184,86
319,458
9,168
186,69
39,300
81,75
373,394
276,14
493,434
185,436
362,159
12,310
381,309
290,208
365,326
399,339
302,456
29,237
361,22
418,55
475,164
5,455
430,359
271,472
145,223
269,253
24,101
54,270
337,316
359,237
344,269
74,61
234,155
79,198
159,98
59,405
218,456
101,203
33,286
377,14
25,69
217,197
318,358
391,50
420,61
252,368
87,468
492,439
88,420
116,3
467,223
223,185
405,170
242,141
416,179
318,45
400,72
269,340
145,38
61,356
454,136
161,4
174,330
139,181
26,84
134,111
443,399
43,129
430,97
373,437
413,173
437,273
382,124
98,391
27,111
424,180
400,461
353,338
117,18
249,406
280,436
218,136
75,375
55,403
133,124
19,130
361,472
198,400
295,202
379,89
214,306
74,163
17,70
454,334
469,91
337,113
167,370
476,188
120,348
269,88
76,451
174,53
296,188
251,226
150,306
489,339
393,326
405,211
252,389
329,427
400,418
10,77
25,195
365,145
168,434
154,256
36,290
405,317
271,174
483,346
395,57
478,207
498,14
297,204
478,186
382,280
327,383
38,90
31,245
352,457
367,163
139,187
472,24
81,88
440,475
328,341
125,359
139,467
318,232
254,384
154,238
498,273
83,224
223,450
89,309
463,181
40,169
359,249
370,74
446,292
68,185
400,457
75,286
418,493
232,352
121,224
339,327
136,244
227,149
210,182
470,454
188,260
0,100
312,495
60,204
190,462
441,233
199,338
161,459
131,301
417,429
379,128
188,75
407,116
376,270
309,279
322,343
33,434
181,178
383,84
166,393
180,337
358,39
4,125
136,133
324,178
417,215
66,437
168,199
263,148
154,299
231,227
29,300
224,447
137,37
420,225
79,16
218,103
460,142
197,62
172,193
153,474
479,315
40,400
376,397
165,463
150,108
499,90
46,392
420,79
196,84
352,232
368,82
392,221
411,350
58,222
29,346
345,451
327,428
416,106
152,67
69,375
114,74
331,181
468,322
314,345
328,190
152,421
224,186
462,446
343,323
318,388
311,157
184,411
196,70
168,6
417,57
162,339
62,428
413,186
420,458
213,236
247,401
388,181
478,129
230,213
231,160
454,416
307,350
175,221
427,404
439,389
453,30
66,132
201,256
182,253
404,62
461,399
403,133
35,355
92,278
151,149
154,364
260,283
211,216
103,353
122,254
431,242
202,376
375,472
5,245
373,357
197,408
473,187
114,289
22,254
169,484
15,195
66,221
337,30
190,385
273,118
445,319
194,388
151,70
187,499
453,49
29,380
95,57
353,449
203,16
268,119
42,187
370,235
149,377
16,412
298,42
329,475
164,119
249,491
412,266
439,362
288,475
472,306
141,437
118,193
288,498
491,279
454,137
274,446
487,213
271,381
191,486
181,324
380,310
380,197
309,28
493,72
34,169
290,136
252,119
222,211
423,269
438,267
404,152
443,283
181,493
154,101
315,408
44,337
57,388
243,183
374,131
360,347
80,221
107,223
26,66
465,50
154,196
16,33
404,265
135,325
191,277
161,378
195,25
235,327
88,448
403,238
395,298
457,272
424,0
198,367
19,142
51,465
254,364
90,78
32,45
363,376
469,390
15,130
354,12
183,243
472,496
391,92
141,352
431,237
282,344
261,50
306,337
432,337
384,19
435,415
241,373
44,180
202,243
24,75
437,159
107,116
362,272
433,479
336,492
409,115
209,356
309,357
359,399
419,444
447,374
281,143
382,358
449,229
167,157
53,419
176,474
375,323
284,416
475,296
451,407
489,316
369,479
445,216
483,197
88,92
467,401
212,226
396,42
255,272
278,415
457,385
442,114
215,59
141,87
101,388
11,342
237,359
87,146
97,329
318,365
158,303
216,193
115,429
393,296
268,304
168,59
54,422
64,423
111,69
121,124
390,50
104,326
348,44
215,447
110,481
112,251
472,485
110,105
370,370
188,404
433,189
417,309
410,416
55,297
80,308
396,157
282,485
3,370
258,148
287,406
199,46
123,240
489,133
311,13
325,71
114,60
487,305
374,56
386,467
243,183
146,342
235,151
14,75
78,370
450,368
219,31
481,46
296,137
435,457
297,139
458,459
266,181
138,95
7,72
206,436
39,73
227,46
378,261
390,302
105,446
74,109
271,176
219,144
143,217
18,70
408,347
111,97
108,447
292,139
52,353
298,415
82,6
147,320
275,172
245,298
274,38
26,498
250,3
50,475
12,226
333,161
319,214
381,232
440,452
65,163
164,44
224,15
139,461
101,128
322,278
94,220
103,392
37,437
256,146
155,183
172,5
307,63
365,53
266,440
85,426
365,282
170,61
284,137
26,294
401,41
145,179
304,432
450,248
438,34
33,371
192,135
253,2
287,381
447,424
487,77
324,258
119,480
496,270
193,128
283,313
312,211
8,469
428,74
351,238
392,277
74,37
387,295
472,453
476,280
37,288
137,352
344,166
208,171
85,183
57,111
13,343
243,226
243,362
75,116
317,45
470,273
49,176
153,82
459,381
266,179
237,473
450,120
87,336
342,212
60,81
384,461
316,141
43,184
229,185
323,347
418,226
297,20
305,253
217,417
41,443
210,300
119,158
250,326
205,271
240,463
425,7
292,237
100,47
340,111
208,62
237,228
444,150
95,45
113,157
176,305
176,9
420,124
24,86
296,7
316,320
89,23
269,235
85,79
71,493
53,181
21,246
446,167
212,339
88,61
267,67
335,177
497,276
314,328
308,136
364,59
27,136
203,336
340,141
200,379
65,154
331,103
321,115
314,65
494,239
272,184
182,167
367,192
26,15
9,407
441,316
283,337
155,39
334,206
74,2
349,307
17,208
24,250
23,211
340,164
317,50
144,24
494,459
29,265
188,341
126,346
22,397
294,91
217,287
86,77
286,440
285,298
193,248
179,53
239,143
372,155
466,341
199,462
330,274
399,379
309,116
360,194
172,498
359,222
187,46
278,144
434,0
414,396
42,115
186,350
407,129
448,91
337,52
141,295
19,325
306,450
450,115
205,128
187,359
336,229
72,485
430,35
315,309
4,383
97,288
295,101
371,34
88,326
38,307
161,493
261,36
36,167
363,204
192,317
147,50
277,470
242,284
156,62
111,349
236,488
146,347
399,285
422,70
432,39
163,203
274,470
9,455
55,127
309,80
306,422
446,347
277,38
40,37
56,116
219,301
180,311
195,436
91,1
102,164
183,63
288,228
225,162
37,373
328,178
202,37
393,406
428,359
259,256
159,381
28,442
468,70
224,198
92,418
96,437
81,494
103,34
229,132
328,341
13,375
444,297
88,109
438,31
453,270
424,43
236,91
141,206
252,348
408,284
251,23
106,153
260,176
421,145
301,35
229,369
378,267
2,86
495,249
300,196
20,459
400,497
414,344
323,74
430,328
494,273
63,478
450,477
346,120
52,435
458,305
91,439
240,263
450,221
499,233
298,397
198,460
83,133
417,189
198,430
143,190
455,237
72,179
104,97
64,439
83,280
475,410
341,357
129,421
144,140
344,335
473,97
213,417
255,2
130,262
396,245
225,136
221,21
57,357
449,371
207,212
413,297
9,95
331,391
126,406
256,53
129,472
322,53
409,178
38,102
145,450
7,206
145,315
345,166
200,428
281,230
260,376
67,211
415,466
7,314
444,481
185,384
144,48
68,75
186,368
169,318
404,450
151,317
54,253
456,38
363,222
117,80
192,68
111,85
160,449
453,387
333,178
81,406
66,106
484,191
20,29
225,37
457,206
415,139
30,326
203,54
81,196
163,199
42,126
290,420
12,475
401,365
122,373
203,413
463,263
384,205
222,439
460,457
247,44
231,5
306,139
447,95
32,64
47,242
222,10
270,99
215,21
22,268
218,171
432,53
399,413
188,380
169,81
301,82
106,30
283,12
195,365
250,380
357,167
73,420
412,433
332,270
305,245
294,438
426,181
463,364
34,148
70,419
467,296
276,187
59,283
414,490
147,327
347,497
385,218
407,33
459,287
149,309
198,408
168,171
486,256
181,167
184,40
351,480
479,480
47,107
357,289
201,414
62,144
495,490
449,493
406,6
54,331
241,59
43,197
71,476
76,216
191,281
39,468
433,421
120,301
404,279
150,457
368,254
147,246
315,216
200,192
218,193
197,107
310,98
142,155
333,137
222,415
440,391
371,99
62,257
198,287
443,175
419,143
34,114
185,47
432,149
220,62
135,189
86,75
200,272
138,154
480,299
242,227
464,477
154,213
29,221
355,405
206,120
183,232
437,79
75,235
103,160
293,117
148,113
66,29
3,141
177,418
210,326
236,492
366,396
8,456
20,468
192,198
117,406
469,30
311,156
105,323
151,192
102,173
288,264
106,350
210,145
99,483
496,206
294,321
3,126
420,485
393,421
15,63
474,362
314,5
16,31
360,491
27,195
282,357
316,221
143,447
494,71
65,478
65,282
499,292
147,117
461,410
1,218
461,107
160,323
410,181
130,465
391,138
479,167
364,454
192,468
228,327
298,240
168,202
472,4
102,397
283,498
31,40
39,370
342,245
357,221
219,283
418,206
469,153
253,435
390,470
86,222
382,200
61,304
121,73
85,382
103,489
470,8
57,296
498,43
120,319
475,139
430,23
486,498
434,196
305,210
315,92
389,427
364,283
275,348
193,156
167,211
208,81
265,437
460,332
451,128
338,190
257,22
234,7
170,497
97,354
169,424
36,377
477,205
397,239
403,185
255,490
165,458
275,449
316,109
140,474
89,383
189,305
131,356
267,448
348,208
477,24
78,64
79,42
302,156
304,293
397,156
160,331
240,195
194,66
494,247
24,52
386,55
322,495
18,241
162,281
295,346
309,35
339,369
453,48
181,276
298,385
372,109
393,374
222,6
204,136
178,331
14,277
372,75
197,493
432,328
224,170
439,371
272,109
67,184
147,297
155,387
326,456
485,197
156,220
13,305
476,278
477,499
322,99
269,466
335,395
318,25
400,2
71,93
32,282
497,94
450,444
466,20
209,80
375,320
370,198
405,54
269,466
449,405
394,462
95,173
160,349
85,31
104,388
192,347
466,59
80,82
144,335
174,291
225,403
209,368
447,382
250,24
382,231
194,65
450,391
386,373
21,108
322,295
311,97
300,126
302,440
60,343
4,391
207,267
360,320
249,76
455,386
113,453
248,428
336,19
328,171
487,37
420,238
363,59
296,380
295,323
297,218
346,319
54,428
246,296
432,271
293,277
207,179
283,352
6,92
458,273
396,490
91,331
462,405
411,83
349,245
403,213
237,231
192,490
443,199
79,283
212,460
248,160
460,60
3,374
305,417
199,205
418,444
0,370
495,257
489,392
38,281
66,414
333,80
239,21
108,84
304,80
209,75
331,65
10,59
291,322
214,61
171,262
245,32
495,259
185,153
366,355
27,165
372,24
485,352
499,87
428,372
167,208
80,430
480,67
238,63
145,193
421,232
31,385
56,168
478,162
397,25
91,292
291,215
110,467
174,417
339,454
235,422
161,187
364,102
38,406
64,76
427,256
488,168
131,396
82,12
211,4
317,112
480,443
162,98
498,136
24,350
220,80
2,270
441,390
237,224
152,397
451,10
308,88
193,454
388,279
6,154
204,168
348,276
62,327
95,117
155,439
248,20
57,466
256,144
240,330
106,302
166,0
450,68
51,272
178,125
280,471
302,254
46,67
289,247
75,44
278,398
460,484
499,333
490,90
404,129
439,85
411,81
332,92
114,414
310,334
420,313
215,382
445,330
88,127
48,281
239,137
7,52
428,30
200,93
321,153
483,181
410,201
19,45
337,221
158,24
448,282
181,33
183,218
331,72
384,294
391,393
45,214
345,259
256,101
469,250
377,7
328,296
290,104
353,99
108,60
6,328
302,195
224,53
225,240
491,111
12,222
98,386
104,247
51,370
392,200
248,209
468,271
385,439
248,278
232,309
371,377
223,122
493,44
232,271
1,254
492,379
71,497
372,452
290,106
418,484
65,318
7,295
417,209
82,9
116,156
11,319
35,172
490,432
172,293
7,335
496,100
382,83
205,2
283,422
409,183
486,145
246,95
376,229
79,45
291,285
223,243
320,149
360,8
233,31
56,415
74,446
193,31
317,303
467,452
291,243
86,291
37,154
151,117
443,153
488,432
2,342
148,420
82,145
30,226
469,278
402,414
365,206
109,400
111,308
227,295
439,228
417,114
362,98
282,185
261,141
326,406
190,90
64,439
184,399
114,53
220,407
243,79
391,282
367,299
301,372
150,331
440,316
176,355
397,281
272,342
22,465
421,227
36,411
360,408
396,236
183,443
370,123
285,460
3,5
466,487
489,257
389,492
379,379
293,362
125,490
105,302
346,84
453,369
37,387
193,455
75,60
88,285
447,241
73,372
177,146
201,178
449,417
26,470
203,0
393,210
217,470
99,390
4,74
141,51
39,160
216,83
371,212
239,89
61,52
289,53
267,417
291,155
251,447
298,123
218,230
246,118
484,23
333,39
95,403
442,48
173,112
330,112
225,218
68,42
162,106
244,238
88,205
494,283
322,269
365,368
214,14
53,11
60,277
268,221
300,49
421,389
358,231
434,222
243,23
104,271
119,413
135,55
235,78
149,131
496,437
465,389
319,324
457,106
208,352
371,382
256,134
393,37
75,440
49,115
52,162
234,374
122,399
148,278
131,16
68,345
198,94
393,185
394,435
244,392
419,438
354,436
58,206
95,86
63,241
119,363
298,298
273,219
25,481
101,105
13,199
54,357
178,436
94,292
107,481
14,276
207,281
425,1
447,203
336,336
70,0
194,296
223,405
333,330
154,142
311,119
91,214
50,38
498,371
425,424
417,159
10,484
40,162
365,356
203,255
330,67
21,344
396,203
309,373
198,225
62,351
201,45
44,280
58,143
423,447
439,475
412,163
173,495
142,410
325,392
234,235
381,284
76,98
75,429
421,30
359,37
132,25
283,374
390,339
2,207
312,68
238,13
371,41
47,322
173,251
145,467
462,33
48,267
336,7
65,109
217,175
26,464
11,31
159,5
73,401
50,167
299,93
172,126
241,182
175,290
407,356
241,192
433,189
454,272
195,115
219,235
200,329
22,352
224,400
190,167
108,380
479,300
347,359
334,315
163,404
245,118
387,35
166,233
218,179
35,109
487,150
338,282
4,350
140,398
109,257
398,74
94,114
226,236
39,13
393,201
393,455
348,22
169,206
217,43
221,19
286,417
211,155
108,20
284,338
136,174
237,9
312,134
438,186
79,244
186,64
448,111
31,437
62,300
220,132
219,285
31,136
250,403
326,63
218,460
387,141
446,427
439,270
305,484
397,494
77,188
167,128
262,276
327,214
470,262
347,154
392,250
128,65
298,482
425,186
197,485
71,473
251,287
161,327
483,98
412,303
4,304
338,396
200,205
220,202
327,87
168,417
422,152
367,402
494,357
157,294
433,125
32,428
491,426
417,124
102,425
350,93
143,99
372,331
391,420
44,450
259,321
227,284
373,307
276,404
219,77
34,75
256,395
343,488
391,444
366,233
101,131
60,416
180,190
154,248
493,131
442,11
7,452
61,179
242,182
134,46
409,267
49,361
379,198
430,73
453,164
126,353
435,372
146,104
279,378
39,173
308,378
181,436
256,484
448,105
496,255
449,463
147,385
343,364
495,408
386,121
447,123
445,133
264,234
400,186
490,477
20,79
62,58
188,298
16,411
377,170
335,148
324,118
385,154
33,195
16,261
223,144
255,131
109,427
112,99
413,238
256,350
99,319
292,488
425,465
30,132
303,165
327,439
241,153
195,442
382,288
73,321
86,381
266,238
236,322
347,129
454,488
185,108
350,60
392,95
0,494
189,116
99,359
328,391
283,152
363,278
468,477
414,371
7,327
313,432
317,217
310,9
100,482
43,149
103,33
96,85
153,159
51,497
253,262
35,141
477,397
39,491
74,185
491,330
278,147
84,395
386,462
429,374
481,318
176,439
129,269
239,104
196,188
321,463
191,98
251,146
96,65
345,297
255,377
408,278
318,51
268,189
457,228
84,204
252,172
492,136
400,242
152,256
171,159
85,55
144,287
218,471
262,175
158,79
176,9
354,242
93,339
353,446
179,213
97,352
354,145
44,432
373,481
356,5
86,174
476,334
386,189
296,105
451,110
129,302
109,365
232,421
218,242
52,426
240,457
423,45
37,439
50,466
395,401
11,117
363,32
286,0
206,372
133,257
45,384
269,144
194,280
275,154
375,216
468,438
477,171
443,1
52,227
238,329
388,192
454,14
138,218
354,168
113,81
354,250
57,339
226,302
178,47
381,245
439,87
194,48
97,492
373,422
41,170
171,281
486,152
254,343
141,243
242,7
386,430
97,325
298,191
54,63
363,237
184,351
407,479
102,50
194,182
275,407
233,407
392,271
480,162
323,70
34,286
384,146
374,243
284,137
475,343
147,191
362,158
352,2
99,267
308,490
305,20
119,299
309,281
154,334
158,477
403,247
185,278
455,129
68,365
461,388
251,381
86,452
370,58
149,355
166,210
119,482
169,35
272,99
102,54
415,312
363,316
144,357
373,479
14,16
384,42
235,413
89,267
300,395
8,428
298,344
208,430
331,92
269,136
335,42
197,258
332,75
238,488
223,277
120,19
35,254
400,257
195,72
385,359
367,281
354,83
11,394
49,84
323,427
255,459
387,92
431,460
497,268
11,175
52,291
125,369
391,13
80,215
402,496
485,435
317,200
432,412
29,407
375,267
247,436
31,448
377,419
474,256
425,457
461,59
395,290
408,133
453,402
296,159
48,443
306,349
269,362
463,251
332,368
107,493
260,187
293,279
305,144
102,496
162,473
260,17
27,477
156,344
292,67
59,326
250,247
174,141
180,234
315,338
93,423
99,273
383,423
20,13
422,192
380,174
129,461
31,414
308,35
253,172
379,498
228,51
156,199
426,222
316,424
451,379
246,263
445,59
245,62
370,356
166,354
284,498
258,366
130,254
47,17
107,195
54,192
211,215
337,353
69,236
494,273
57,105
14,185
284,446
346,12
24,478
380,322
129,61
451,255
362,291
232,398
365,307
375,330
318,19
102,246
452,310
395,241
111,397
213,26
255,277
458,269
414,335
105,138
249,152
131,499
83,435
416,141
238,493
34,64
347,15
377,309
228,254
47,356
96,117
477,175
157,145
141,471
483,395
265,64
41,148
278,226
297,328
214,42
385,111
19,56
299,236
101,459
496,353
114,482
443,416
412,374
455,486
494,165
31,379
281,155
424,327
363,299
129,443
203,405
449,16
86,405
42,323
413,130
278,497
71,346
284,249
460,373
276,176
447,152
490,288
105,245
222,435
173,311
359,333
242,141
83,435
226,34
323,288
172,82
283,24
343,484
486,118
435,81
282,72
185,450
287,401
355,248
476,13
477,299
473,82
467,434
432,374
344,276
245,318
294,184
299,183
245,476
128,388
26,132
281,254
473,294
307,428
195,225
287,278
306,54
405,481
326,308
356,402
9,180
184,283
146,247
136,288
24,469
35,299
344,278
269,284
261,478
471,0
127,306
92,138
413,63
355,77
389,149
440,79
479,49
92,343
152,282
177,319
415,160
310,451
293,151
428,100
156,291
402,68
287,422
291,390
372,131
394,36
293,391
175,184
232,197
144,244
248,350
431,330
421,71
485,219
354,159
470,376
126,62
463,67
60,468
88,166
440,298
157,489
381,82
210,442
18,175
490,110
252,386
162,124
363,416
268,131
382,170
454,231
272,423
460,476
262,158
342,79
409,356
70,411
221,216
334,244
166,322
271,473
331,139
96,485
51,50
355,470
250,146
58,287
425,245
253,76
417,249
440,105
50,58
169,250
375,65
397,472
216,85
276,29
292,488
76,31
75,304
370,59
133,294
439,7
79,225
109,402
78,213
195,190
426,311
271,141
397,128
343,479
438,2
279,405
319,395
174,391
486,426
202,8
69,176
249,224
79,438
485,469
368,371
80,161
23,485
168,201
176,282
97,105
204,311
48,406
239,57
176,176
361,129
18,102
378,180
85,459
215,71
389,36
348,352
43,253
315,64
445,189
98,314
66,299
145,100
487,84
377,415
146,63
58,24
271,460
228,15
145,306
310,467
13,326
261,52
178,441
252,371
39,117
485,274
419,262
447,326
156,22
344,333
151,356
64,422
3,416
179,428
253,205
54,359
220,401
399,90
139,24
234,481
205,108
322,415
196,120
130,168
10,280
246,207
158,269
494,481
10,324
27,423
55,181
329,93
409,414
107,430
188,71
197,420
352,179
382,32
498,363
420,45
98,432
253,242
412,15
427,304
442,361
20,358
272,90
91,14
325,86
230,61
175,180
444,181
202,43
140,175
111,49
177,430
291,210
98,37
412,135
494,459
406,172
286,397
142,487
10,425
377,326
204,192
325,243
217,264
145,338
100,203
17,299
369,13
60,293
32,93
251,390
23,429
123,42
28,288
280,272
205,462
177,405
182,406
383,283
384,82
486,290
166,425
348,304
410,302
241,294
382,365
379,444
246,332
327,470
388,66
417,470
405,281
314,267
433,67
312,458
243,13
289,67
46,68
450,120
214,75
125,72
184,255
380,17
433,488
414,228
488,276
402,13
35,141
275,341
499,438
179,371
407,5
188,283
248,182
412,423
120,95
124,415
360,308
160,277
335,279
48,368
217,328
414,193
21,262
133,164
416,272
479,456
441,402
318,181
217,340
142,166
431,307
268,330
187,183
245,365
92,428
461,451
11,492
413,211
261,40
272,232
331,100
129,42
165,162
34,117
305,372
127,353
259,422
213,52
319,34
189,76
475,370
173,225
258,420
306,488
188,442
